"ID","Gender","Gender.quant","Age","Nationality","Country_of_residence","cultural.arab","cultural.asian","cultural.black","cultural.multiple","cultural.white","cultural.prefNo","cultural.another","primary_cultural","multiple_cultural","identified_prefs","prefs_string"
"15133752","Man","2","43","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15133785","Woman","1","73","United States","United States",NA,NA,NA,"White or White British *and* Asian or Asian British",NA,NA,NA,"Multiple","FALSE","White or White British *and* Asian or Asian British","White or White British *and* Asian or Asian British"
"15133881","Woman","1","53","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15133912","Woman","1","81","United States","United States",NA,NA,"African or African British",NA,NA,NA,NA,"Black","FALSE","African or African British","African or African British"
"15133914","Man","2","50","United States","United States",NA,NA,"African American",NA,NA,NA,NA,"Black","FALSE","African American","African American"
"15133915","Woman","1","57","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15133920","Woman","1","36","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15133923","Woman","1","57","United States","United States",NA,NA,NA,NA,"Irish",NA,NA,"White","FALSE","Irish","Irish"
"15133926","Woman","1","51","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15133927","Man","2","28","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15133931","Man","2","64","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15133985","Man","2","54","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15133987","Woman","1","55","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15134019","Man","2","51","United States","United States",NA,NA,"African or African British",NA,NA,NA,NA,"Black","FALSE","African or African British","African or African British"
"15134180","Man","2","27","United States","United States","Arab or Arab British",NA,NA,"White or White British *and* Asian or Asian British",NA,NA,NA,"Arab","TRUE","c(""Arab or Arab British"", ""White or White British *and* Asian or Asian British"")","Arab or Arab British; White or White British *and* Asian or Asian British"
"15154742","Woman","1","22","United States","United States",NA,NA,NA,NA,"Polish",NA,NA,"White","FALSE","Polish","Polish"
