Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
698e27373800769305eb1f29,5c1021a547d07800011a23de,RETURNED,Not Applicable,2026-02-12T19:17:16.224000Z,,,2026-02-13T15:06:22.418487Z,,,9260,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e273a72ebbd3bc4cda7f4,608437f0b139060610c9f0c1,AWAITING REVIEW,Not Applicable,2026-02-12T19:17:18.040000Z,2026-02-12T19:39:37.498000Z,,2026-02-12T19:39:37.854026Z,1340.0,CWLQFHAM,9488,83,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
698e2999c7808d36a22fa2db,65c25e3de8b230c294f2b32c,AWAITING REVIEW,Not Applicable,2026-02-12T19:27:21.457000Z,2026-02-12T19:48:05.949000Z,,2026-02-12T19:48:06.336414Z,1245.0,CWLQFHAM,4030,53,Female,White,United States,United States,United States,English,No,Full-Time
698e2a379e68ab166ff04e37,5dceca2541afe801a32e27ac,AWAITING REVIEW,Not Applicable,2026-02-12T19:30:02.886000Z,2026-02-12T19:54:03.816000Z,,2026-02-12T19:54:04.192044Z,1441.0,CWLQFHAM,10144,81,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
698e2a4e9e68ab166ff04e3a,66d74ebc062f3866de52956d,RETURNED,Not Applicable,,,,2026-02-13T15:06:22.422729Z,,,1375,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e2a4ef374a4204213cd69,6712acd49ca5448a6e983e6c,AWAITING REVIEW,Not Applicable,2026-02-12T19:30:29.277000Z,2026-02-12T19:50:32.671000Z,,2026-02-12T19:50:33.027209Z,1204.0,CWLQFHAM,3875,50,Male,Black,United States,United States,United States,English,No,Full-Time
698e2a50c2c33e4bec4d3cc8,61219fd8387ca59d07e0dc1c,AWAITING REVIEW,Not Applicable,2026-02-12T19:30:30.036000Z,2026-02-12T19:54:23.667000Z,,2026-02-12T19:54:24.060847Z,1434.0,CWLQFHAM,8658,57,Female,White,United States,United States,United States,English,No,Full-Time
698e2a56ad5cff59ff3364ed,6784cd4c648d7fe55ab2ff24,AWAITING REVIEW,Not Applicable,2026-02-12T19:31:38.221000Z,2026-02-12T20:08:13.464000Z,,2026-02-12T20:08:13.827955Z,2196.0,CWLQFHAM,1782,64,Male,White,United States,United States,United States,English,No,Full-Time
698e2a59ae9a614641258cd0,67382e41c232d1004b052fc4,RETURNED,Not Applicable,2026-02-12T19:30:36.537000Z,,,2026-02-13T15:06:22.425432Z,,,2437,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e2a6167cea2dfde5b3291,67204af156acf704058c6e66,RETURNED,Not Applicable,2026-02-12T19:30:51.169000Z,,,2026-02-13T15:06:22.419667Z,,,455,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
